From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
D4BNX5	D4BNX5	unreviewed	D4BNX5_BIFBR	O-methyltransferase	BIFBRE_03783	Bifidobacterium breve DSM 20213 = JCM 1192	221	methylation [GO:0032259]		O-methyltransferase activity [GO:0008171]	GO:0008171; GO:0032259
R5XPB2	R5XPB2	unreviewed	R5XPB2_9FIRM	tRNA 5-hydroxyuridine methyltransferase (EC 2.1.1.-) (ho5U methyltransferase)	trmR BN537_01656	Firmicutes bacterium CAG:212	222			magnesium ion binding [GO:0000287]; O-methyltransferase activity [GO:0008171]; tRNA (uracil) methyltransferase activity [GO:0016300]	GO:0000287; GO:0008171; GO:0016300
D3IM92	D3IM92	unreviewed	D3IM92_9BACT	Methyltransferase domain protein	HMPREF0670_02611	Prevotella sp. oral taxon 317 str. F0108	259	methylation [GO:0032259]		methyltransferase activity [GO:0008168]	GO:0008168; GO:0032259
A0A1W9JH54	A0A1W9JH54	unreviewed	A0A1W9JH54_9PROT	Methyltransferase domain-containing protein	BVN33_14915	Proteobacteria bacterium ST_bin13	284				
A0A1J5KKJ1	A0A1J5KKJ1	unreviewed	A0A1J5KKJ1_9PROT	Methyltransferase	BM556_13420	Bacteriovorax sp. MedPE-SWde	211	methylation [GO:0032259]		O-methyltransferase activity [GO:0008171]	GO:0008171; GO:0032259
A0A199WB44	A0A199WB44	unreviewed	A0A199WB44_ANACO	Caffeoyl-CoA O-methyltransferase 2	ACMD2_14414	Ananas comosus (Pineapple) (Ananas ananas)	500	methylation [GO:0032259]		O-methyltransferase activity [GO:0008171]	GO:0008171; GO:0032259
A0A0L0HE30	A0A0L0HE30	unreviewed	A0A0L0HE30_SPIPD	CCHC-type domain-containing protein	SPPG_05526	Spizellomyces punctatus (strain DAOM BR117)	334			nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0003676; GO:0008270
A0A1W9L4G9	A0A1W9L4G9	unreviewed	A0A1W9L4G9_9GAMM	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB BWK79_11940	Beggiatoa sp. IS2	223			tRNA (guanine-N7-)-methyltransferase activity [GO:0008176]	GO:0008176
A0A1I2R7T3	A0A1I2R7T3	unreviewed	A0A1I2R7T3_9FIRM	Predicted ATP-dependent carboligase, ATP-grasp superfamily	SAMN05660649_01433	Desulfotruncus arcticus DSM 17038	639			ATP binding [GO:0005524]; ligase activity [GO:0016874]; metal ion binding [GO:0046872]	GO:0005524; GO:0016874; GO:0046872
A0A0M9DP10	A0A0M9DP10	unreviewed	A0A0M9DP10_9BACT	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH AD998_03340	bacterium 336/3	305	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]	GO:0005737; GO:0070475; GO:0071424
A0A1A8XQC2	A0A1A8XQC2	unreviewed	A0A1A8XQC2_9PROT	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	mraW rsmH ACCAA_360012	Candidatus Accumulibacter aalborgensis	316	rRNA base methylation [GO:0070475]	cytoplasm [GO:0005737]	rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]	GO:0005737; GO:0070475; GO:0071424
A0A1V9XIB4	A0A1V9XIB4	unreviewed	A0A1V9XIB4_9ACAR	Ribosomal RNA-processing protein 8 (EC 2.1.1.-)	BIW11_09963	Tropilaelaps mercedesae	574	methylation [GO:0032259]; rRNA processing [GO:0006364]	nucleolus [GO:0005730]	methyltransferase activity [GO:0008168]	GO:0005730; GO:0006364; GO:0008168; GO:0032259
A0A1M7FZT3	A0A1M7FZT3	unreviewed	A0A1M7FZT3_9RHOB	16S rRNA (Cytosine967-C5)-methyltransferase	SAMN05444389_103322	Paracoccus solventivorans	383	RNA methylation [GO:0001510]		methyltransferase activity [GO:0008168]; RNA binding [GO:0003723]	GO:0001510; GO:0003723; GO:0008168
A0A147K9M3	A0A147K9M3	unreviewed	A0A147K9M3_9BACI	16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	Q75_05905	Bacillus coahuilensis p1.1.43	442	regulation of DNA-templated transcription [GO:0006355]	cytoplasm [GO:0005737]	RNA binding [GO:0003723]; rRNA methyltransferase activity [GO:0008649]	GO:0003723; GO:0005737; GO:0006355; GO:0008649
A0A1D2WB84	A0A1D2WB84	unreviewed	A0A1D2WB84_9EURY	Histidine kinase	A9507_07090	Methanobacterium sp. A39	281	phosphorelay signal transduction system [GO:0000160]; phosphorylation [GO:0016310]		DNA binding [GO:0003677]; kinase activity [GO:0016301]	GO:0000160; GO:0003677; GO:0016301; GO:0016310
I0I3B8	I0I3B8	unreviewed	I0I3B8_CALAS	Methionine biosynthesis protein MetW	metW CLDAP_17160	Caldilinea aerophila (strain DSM 14535 / JCM 11387 / NBRC 104270 / STL-6-O1)	215				
A8N1B1	A8N1B1	unreviewed	A8N1B1_COPC7	Cobalamin-independent methionine synthase MetE C-terminal/archaeal domain-containing protein	CC1G_10532	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003) (Inky cap fungus) (Hormographiella aspergillata)	391	methionine biosynthetic process [GO:0009086]		5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]	GO:0003871; GO:0008270; GO:0009086
A0A1Y1Z6B1	A0A1Y1Z6B1	unreviewed	A0A1Y1Z6B1_9FUNG	S-adenosyl-L-methionine-dependent methyltransferase	K493DRAFT_328044	Basidiobolus meristosporus CBS 931.73	680		nucleus [GO:0005634]	tRNA (cytosine-5-)-methyltransferase activity [GO:0016428]; tRNA binding [GO:0000049]	GO:0000049; GO:0005634; GO:0016428
A0A1H0GHE5	A0A1H0GHE5	unreviewed	A0A1H0GHE5_HALAD	Predicted arabinose efflux permease, MFS family	SAMN05421677_102326	Halobacillus aidingensis	423		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
A0A0J0YQ86	A0A0J0YQ86	unreviewed	A0A0J0YQ86_9NEIS	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE PL75_09065	Neisseria arctica	759	methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]		5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]	GO:0003871; GO:0008270; GO:0009086; GO:0032259
A0A0W0F586	A0A0W0F586	unreviewed	A0A0W0F586_9AGAR	Major facilitator superfamily (MFS) profile domain-containing protein	WG66_15928	Moniliophthora roreri	217		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A263DJC9	A0A263DJC9	unreviewed	A0A263DJC9_9PSEU	MbtH family protein	CFP66_29095	Pseudonocardia sp. MH-G8	77				
A0A0B5DL09	A0A0B5DL09	unreviewed	A0A0B5DL09_9ACTN	MbtH family protein (Protein MbtH)	CP978_34180 SNOD_33950	Streptomyces nodosus	70				
A0A1H7RP36	A0A1H7RP36	unreviewed	A0A1H7RP36_9BURK	MbtH protein	SAMN05216359_11275	Roseateles sp. YR242	99				
A0A1I2YEN2	A0A1I2YEN2	unreviewed	A0A1I2YEN2_9RHOB	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase)	SAMN04488021_10425	Paracoccus aminovorans	1253	methylation [GO:0032259]; pteridine-containing compound metabolic process [GO:0042558]		cobalamin binding [GO:0031419]; methionine synthase activity [GO:0008705]; zinc ion binding [GO:0008270]	GO:0008270; GO:0008705; GO:0031419; GO:0032259; GO:0042558
A0A1S3RXZ8	A0A1S3RXZ8	unreviewed	A0A1S3RXZ8_SALSA	Protein-cysteine N-palmitoyltransferase HHAT-like	LOC106605736	Salmo salar (Atlantic salmon)	164		membrane [GO:0016020]		GO:0016020
A0A1B2AC49	A0A1B2AC49	unreviewed	A0A1B2AC49_9SPHN	Proline/betaine transporter	proP_1 A6F68_01150	Tsuneonella dongtanensis	427		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
F8NAR7	F8NAR7	unreviewed	F8NAR7_9BACT	Major facilitator superfamily MFS_1	Premu_1387	Prevotella multisaccharivorax DSM 17128	463		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
G2Z313	G2Z313	unreviewed	G2Z313_FLABF	Probable sugar O-acetyltransferase	FBFL15_2337	Flavobacterium branchiophilum (strain FL-15)	564	alginic acid biosynthetic process [GO:0042121]	plasma membrane [GO:0005886]	acyltransferase activity [GO:0016746]	GO:0005886; GO:0016746; GO:0042121
A0A0Q0T099	A0A0Q0T099	unreviewed	A0A0Q0T099_9PSED	MFS transporter	AQS70_12550	Pseudomonas endophytica	449		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1H1WKW8	A0A1H1WKW8	unreviewed	A0A1H1WKW8_9MICO	MFS-type transporter involved in bile tolerance, Atg22 family	SAMN04489721_2261	Agromyces flavus	448		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
B6QTQ7	B6QTQ7	unreviewed	B6QTQ7_TALMQ	MFS transporter, putative	PMAA_005690	Talaromyces marneffei (strain ATCC 18224 / CBS 334.59 / QM 7333) (Penicillium marneffei)	465		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A067CUQ1	A0A067CUQ1	unreviewed	A0A067CUQ1_SAPPC	Major facilitator superfamily (MFS) profile domain-containing protein	SPRG_01578	Saprolegnia parasitica (strain CBS 223.65)	475		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A191THJ2	A0A191THJ2	unreviewed	A0A191THJ2_9BACT	L-fucose:H+ symporter permease	A9P82_01970	Arachidicoccus sp. BS20	424		plasma membrane [GO:0005886]	fucose:proton symporter activity [GO:0015535]; galactose transmembrane transporter activity [GO:0005354]; glucose transmembrane transporter activity [GO:0005355]	GO:0005354; GO:0005355; GO:0005886; GO:0015535
A0A1V0GMN1	A0A1V0GMN1	unreviewed	A0A1V0GMN1_9RHOB	NarK/NasA family nitrate transporter	A6J80_00890	Paracoccus yeei	402	nitrate assimilation [GO:0042128]	membrane [GO:0016020]	nitrate transmembrane transporter activity [GO:0015112]	GO:0015112; GO:0016020; GO:0042128
S2Y1U8	S2Y1U8	unreviewed	S2Y1U8_9BACL	Drug:H+ antiporter-2 (14 Spanner) (DHA2) family drug resistance MFS transporter	HMPREF1210_01990	Paenisporosarcina sp. HGH0030	499		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
A0A1C5GHH1	A0A1C5GHH1	unreviewed	A0A1C5GHH1_MICEH	MFS-type transporter involved in bile tolerance, Atg22 family	GA0070610_5638	Micromonospora echinofusca	437		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
G2TJ31	G2TJ31	unreviewed	G2TJ31_WEICA	Major facilitator superfamily MFS_1	Bcoa_1595	Weizmannia coagulans 36D1	405		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
A0A075AQY3	A0A075AQY3	unreviewed	A0A075AQY3_ROZAC	MFS general substrate transporter (Major facilitator superfamily, general substrate transporter domain-containing protein)	O9G_001006 ROZALSC1DRAFT_28055	Rozella allomycis (strain CSF55)	406		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A0Q7SFC3	A0A0Q7SFC3	unreviewed	A0A0Q7SFC3_9BURK	Disulfide bond formation protein DsbA	ASD35_26060	Pelomonas sp. Root1444	529		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
A0A0U5GC46	A0A0U5GC46	unreviewed	A0A0U5GC46_ASPCI	Putative MFS gliotoxin efflux transporter GliA	ASPCAL12327	Aspergillus calidoustus	539		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A094J469	A0A094J469	unreviewed	A0A094J469_9BACT	Major Facilitator Superfamily protein	KQ78_00371	Candidatus Izimaplasma bacterium HR2	412		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1Z2KUV2	A0A1Z2KUV2	unreviewed	A0A1Z2KUV2_9ACTN	Multidrug MFS transporter	SMD11_0143	Streptomyces albireticuli	507		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
A0A1Q2MFP1	A0A1Q2MFP1	unreviewed	A0A1Q2MFP1_9BACT	Putative MFS-type transporter YhjX	yhjX SMSP2_01899	Limihaloglobus sulfuriphilus	391		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
E6WJL1	E6WJL1	unreviewed	E6WJL1_PANSA	Drug resistance transporter, EmrB/QacA subfamily	Pat9b_5882	Pantoea sp. (strain At-9b)	519		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
S3ZK09	S3ZK09	unreviewed	S3ZK09_9ACTN	Major facilitator superfamily (MFS) profile domain-containing protein	STRAU_3367	Streptomyces aurantiacus JA 4570	432		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1I5J4F3	A0A1I5J4F3	unreviewed	A0A1I5J4F3_9BACT	Methyltransferase FkbM domain-containing protein	SAMN04487852_1052	Prevotella sp. tf2-5	273	methylation [GO:0032259]		methyltransferase activity [GO:0008168]	GO:0008168; GO:0032259
A0A200QUR2	A0A200QUR2	unreviewed	A0A200QUR2_9MAGN	Major facilitator superfamily	BVC80_9029g5	Macleaya cordata	515		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1M5ZN59	A0A1M5ZN59	unreviewed	A0A1M5ZN59_9BURK	MFS transporter, putative signal transducer	SAMN04488135_11665	Candidimonas bauzanensis	421		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A212Q8K6	A0A212Q8K6	unreviewed	A0A212Q8K6_RHOAC	Methyltransferase, FkbM family	SAMN06265338_101469	Rhodoblastus acidophilus (Rhodopseudomonas acidophila)	244	methylation [GO:0032259]		methyltransferase activity [GO:0008168]	GO:0008168; GO:0032259
A0A179FB30	A0A179FB30	unreviewed	A0A179FB30_METCM	O-methyltransferase	VFPPC_11120	Pochonia chlamydosporia 170	397	methylation [GO:0032259]; secondary metabolite biosynthetic process [GO:0044550]		O-methyltransferase activity [GO:0008171]	GO:0008171; GO:0032259; GO:0044550
A0A0A7JMX4	A0A0A7JMX4	unreviewed	A0A0A7JMX4_9PSED	MFS transporter	NJ69_07525	Pseudomonas parafulva	393		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1H9KM28	A0A1H9KM28	unreviewed	A0A1H9KM28_9PSEU	Predicted arabinose efflux permease, MFS family	SAMN05216188_10727	Lentzea xinjiangensis	465		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A0U5BJ83	A0A0U5BJ83	unreviewed	A0A0U5BJ83_9BACL	Tetracycline resistance protein, class B	tetA CB4_02428	Aneurinibacillus soli	389		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
A0A0Q5QYH5	A0A0Q5QYH5	unreviewed	A0A0Q5QYH5_9SPHN	MFS transporter	ASG11_08245	Sphingomonas sp. Leaf357	430		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1W2FHV8	A0A1W2FHV8	unreviewed	A0A1W2FHV8_9PSEU	Methyltransferase, FkbM family	SAMN05660733_06495	Lentzea albidocapillata	1232	methylation [GO:0032259]		glycosyltransferase activity [GO:0016757]; methyltransferase activity [GO:0008168]	GO:0008168; GO:0016757; GO:0032259
A0A0H1B4B8	A0A0H1B4B8	unreviewed	A0A0H1B4B8_9EURO	Major facilitator superfamily (MFS) profile domain-containing protein	EMPG_09307	Blastomyces silverae	485		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A0S9MWW3	A0A0S9MWW3	unreviewed	A0A0S9MWW3_9BURK	Methyltransferase	ASF44_14410	Pseudorhodoferax sp. Leaf274	214	methylation [GO:0032259]		methyltransferase activity [GO:0008168]	GO:0008168; GO:0032259
A0A1C4QJC6	A0A1C4QJC6	unreviewed	A0A1C4QJC6_9ACTN	Methyltransferase domain-containing protein	GA0115240_144872	Streptomyces sp. DvalAA-14	253	methylation [GO:0032259]		methyltransferase activity [GO:0008168]	GO:0008168; GO:0032259
A0A1H9U7U2	A0A1H9U7U2	unreviewed	A0A1H9U7U2_9LACT	Major Facilitator Superfamily protein	SAMN04488559_12311	Isobaculum melis	407		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
C1AYX4	C1AYX4	unreviewed	C1AYX4_RHOOB	Drug resistance efflux protein	ROP_16550	Rhodococcus opacus (strain B4)	539		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
D8MRV3	D8MRV3	unreviewed	D8MRV3_ERWBE	Major facilitator superfamily transporter	EbC_20290	Erwinia billingiae (strain Eb661)	428		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A0M8VLS5	A0A0M8VLS5	unreviewed	A0A0M8VLS5_9ACTN	Transporter	ADL00_14415	Streptomyces sp. AS58	579		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1B8ZKU7	A0A1B8ZKU7	unreviewed	A0A1B8ZKU7_9FLAO	Sugar transporter	BBI01_08725	Chryseobacterium artocarpi	388	carbohydrate transport [GO:0008643]	membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0008643; GO:0016020; GO:0022857
F6A9V2	F6A9V2	unreviewed	F6A9V2_PSEF1	Major facilitator superfamily MFS_1	Psefu_2053	Pseudomonas fulva (strain 12-X)	393		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
W6SJT3	W6SJT3	unreviewed	W6SJT3_9CLOT	Putative transport protein	CM240_2848	Clostridium bornimense	388		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
A0A1M5A4N0	A0A1M5A4N0	unreviewed	A0A1M5A4N0_9FIRM	Predicted arabinose efflux permease, MFS family	SAMN02745218_01799	Desulfofundulus australicus DSM 11792	391		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
S3C7K2	S3C7K2	unreviewed	S3C7K2_OPHP1	Vitamin h transporter	F503_08480	Ophiostoma piceae (strain UAMH 11346) (Sap stain fungus)	430		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
F2F495	F2F495	unreviewed	F2F495_SOLSS	Permease of the major facilitator superfamily	SSIL_3702	Solibacillus silvestris (strain StLB046) (Bacillus silvestris)	402		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
F9FPR5	F9FPR5	unreviewed	F9FPR5_FUSOF	Major facilitator superfamily (MFS) profile domain-containing protein	FOXB_08395	Fusarium oxysporum (strain Fo5176) (Fusarium vascular wilt)	662		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
W9GN39	W9GN39	unreviewed	W9GN39_9MICO	Transporter	N864_01075	Intrasporangium chromatireducens Q5-1	509		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1G7Y6I8	A0A1G7Y6I8	unreviewed	A0A1G7Y6I8_9PROT	Sugar phosphate permease	SAMN05421742_103203	Roseospirillum parvum	431		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1I4X6K7	A0A1I4X6K7	unreviewed	A0A1I4X6K7_9PSED	Major Facilitator Superfamily protein	SAMN04487858_114145	Pseudomonas sp. ok602	189		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A9IL61	A9IL61	unreviewed	A9IL61_BORPD	Probable MFS permease	Bpet2201	Bordetella petrii (strain ATCC BAA-461 / DSM 12804 / CCUG 43448)	419		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A0B0I804	A0A0B0I804	unreviewed	A0A0B0I804_9BACL	Major Facilitator Superfamily protein	CM49_01784	Paenibacillus sp. P1XP2	151		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
A0A1G8MYC8	A0A1G8MYC8	unreviewed	A0A1G8MYC8_9RHOO	Major Facilitator Superfamily protein	SAMN05660652_03948	Propionivibrio dicarboxylicus	447		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1G6P431	A0A1G6P431	unreviewed	A0A1G6P431_9BURK	Uncharacterized MFS-type transporter SAMN05216345_103551	SAMN05216345_103551	Cupriavidus sp. YR651	408		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
A0A1M5Y038	A0A1M5Y038	unreviewed	A0A1M5Y038_9GAMM	Predicted arabinose efflux permease, MFS family	SAMN02745129_3860	Ferrimonas marina	452		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
K0Z4Y6	K0Z4Y6	unreviewed	K0Z4Y6_9ACTO	Major facilitator superfamily (MFS) profile domain-containing protein	HMPREF9240_00528	Winkia neuii BV029A5	388		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
U2PZI8	U2PZI8	unreviewed	U2PZI8_9ACTN	Transporter, major facilitator family protein	HMPREF0682_1198	Propionibacterium acidifaciens F0233	434		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
D3T1I4	D3T1I4	unreviewed	D3T1I4_NATMM	Major facilitator superfamily protein (Major facilitator superfamily transport protein)	Nmag_3902 C500_04209	Natrialba magadii (strain ATCC 43099 / DSM 3394 / CCM 3739 / CIP 104546 / IAM 13178 / JCM 8861 / NBRC 102185 / NCIMB 2190 / MS3) (Natronobacterium magadii)	386		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1V6SS90	A0A1V6SS90	unreviewed	A0A1V6SS90_9EURO	Major facilitator superfamily (MFS) profile domain-containing protein	PENSTE_c024G06413	Penicillium steckii	540		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
H5UU94	H5UU94	unreviewed	H5UU94_9MICO	Major facilitator superfamily (MFS) profile domain-containing protein	MOPEL_099_01020	Mobilicoccus pelagius NBRC 104925	394		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1S1RS82	A0A1S1RS82	unreviewed	A0A1S1RS82_9ACTN	Major facilitator superfamily (MFS) profile domain-containing protein	BCD48_14285	Frankia sp. BMG5.36	113		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1N6L859	A0A1N6L859	unreviewed	A0A1N6L859_9BURK	Benzoate transport	SAMN05444165_6597	Paraburkholderia phenazinium	421		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A0W0U3X4	A0A0W0U3X4	unreviewed	A0A0W0U3X4_9GAMM	Major facilitator family transporter	Lgee_0662	Legionella geestiana	432		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
O54176	O54176	unreviewed	O54176_STRCO	Integral membrane protein	SC7H1.17 SCO5947	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	465	transmembrane transport [GO:0055085]	membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857; GO:0055085
A0A0A0BN30	A0A0A0BN30	unreviewed	A0A0A0BN30_9CELL	Membrane protein	N868_17790	Cellulomonas carbonis T26	442		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A0M3JN58	A0A0M3JN58	unreviewed	A0A0M3JN58_ANISI	Uncharacterized protein	ASIM_LOCUS8835	Anisakis simplex (Herring worm)	150		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1V3HN38	A0A1V3HN38	unreviewed	A0A1V3HN38_9GAMM	MFS transporter	BZJ18_14725	Salinivibrio sp. IB872	395		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
G2IL20	G2IL20	unreviewed	G2IL20_SPHSK	Methyltransferase FkbM domain-containing protein	SLG_28970	Sphingobium sp. (strain NBRC 103272 / SYK-6)	197				
A0A1Q8IWU9	A0A1Q8IWU9	unreviewed	A0A1Q8IWU9_9BURK	MFS transporter	BTH42_13280	Burkholderia sp. SRS-W-2-2016	420		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1E5PDE0	A0A1E5PDE0	unreviewed	A0A1E5PDE0_9ACTN	Transporter	AS594_26735	Streptomyces agglomeratus	430		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1F5EKH7	A0A1F5EKH7	unreviewed	A0A1F5EKH7_9BACT	Major facilitator superfamily (MFS) profile domain-containing protein	A3E89_02250	Candidatus Campbellbacteria bacterium RIFCSPHIGHO2_12_FULL_35_10	386		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A0K6FQ16	A0A0K6FQ16	unreviewed	A0A0K6FQ16_9AGAM	Bypass of stop codon protein 6 [Saccharomyces cerevisiae S288c]	RSOLAG22IIIB_03431	Rhizoctonia solani	480		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
A0A1C5DXV1	A0A1C5DXV1	unreviewed	A0A1C5DXV1_9ACTN	Multidrug resistance protein	GA0115254_121310	Streptomyces sp. Ncost-T10-10d	533		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
G9P5C0	G9P5C0	unreviewed	G9P5C0_HYPAI	Major facilitator superfamily (MFS) profile domain-containing protein	TRIATDRAFT_84876	Hypocrea atroviridis (strain ATCC 20476 / IMI 206040) (Trichoderma atroviride)	507		membrane [GO:0016020]	transmembrane transporter activity [GO:0022857]	GO:0016020; GO:0022857
Q3A5K6	Q3A5K6	unreviewed	Q3A5K6_SYNC1	Bcr/CflA family efflux transporter	Pcar_1102	Syntrophotalea carbinolica (strain DSM 2380 / NBRC 103641 / GraBd1) (Pelobacter carbinolicus)	420	xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	plasma membrane [GO:0005886]	xenobiotic transmembrane transporter activity [GO:0042910]	GO:0005886; GO:0042910; GO:1990961
